"","Previous inventory","Current Inventory","combination","n"
"1","C","C","C.C",92
"2","C","F","C.F",7
"3","C","I","C.I",1
"4","F","C","F.C",11
"5","F","F","F.F",22
"6","F","I","F.I",5
"7","FC","C","FC.C",5
"8","FC","F","FC.F",4
"9","FC","I","FC.I",1
"10","I","C","I.C",13
"11","I","F","I.F",85
"12","I","I","I.I",28
"13","IC","C","IC.C",4
"14","IT","C","IT.C",1
"15","IT","F","IT.F",1
"16","ND","C","ND.C",562
"17","ND","F","ND.F",523
"18","ND","I","ND.I",62
"19","O","C","O.C",29
"20","O","F","O.F",15
"21","O","I","O.I",4
"22","OC","C","OC.C",11
"23","OC","F","OC.F",1
"24","OT","C","OT.C",1
"25","T","C","T.C",10
"26","T","F","T.F",2
